 179, 126, 179, 98, 200, 132, 200, 93
 179, 98, 82, 56, 200, 93, 95, 36
 82, 56, 26, 84, 95, 36, 17, 76
 26, 84, 27, 148, 17, 76, 19, 151
 89, 171, 27, 148, 100, 182, 19, 151
 179, 126, 89, 171, 200, 132, 100, 182
 161, 134, 151, 115, 186, 139, 171, 110
 162, 91 , 151, 115, 184, 83, 171, 110
 131, 131, 121, 126, 140, 138, 149, 127
 121, 126, 123, 100, 149, 127, 148, 95
 131, 95, 123, 100, 139, 87, 148, 95
 74, 84, 81, 77, 89, 79, 88, 70
 81, 77, 87, 84, 88, 70, 97, 80
 74, 84, 78, 93, 89, 79, 89, 89
 78, 93, 87, 84, 89, 89, 97, 80
 74, 145, 81, 138, 91, 147, 92, 139
 81, 138, 87, 146, 92, 139, 98, 147
 74, 145, 79, 153, 91, 147, 91, 156 
 79, 153, 87, 146, 91, 156, 98, 147
 53, 114, 114, 112, 68, 111, 140, 112
 52, 96, 82, 105, 80, 88, 107, 96
 82, 105, 110, 94, 107, 96, 133, 89
 51, 130, 79, 124, 76, 135, 110, 129
 79, 124, 110, 136, 110, 129, 135,137
